,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@fchollet Imagine how this makes FOMO Capital (the VC firm) feel!,385,41,2023-04-15 04:56:17+00:00
1,elonmusk,"@alx That is *actually* what they did. Going forward, this platform will be fair &amp; transparent.",7223,1051,2023-04-15 04:53:33+00:00
2,elonmusk,@EndWokeness Odd for period pieces,3834,257,2023-04-15 04:45:45+00:00
3,elonmusk,@MrAndyNgo @FloridaState Wow!,2172,209,2023-04-15 04:41:35+00:00
4,elonmusk,"@SmokeAwayyy With booster ultimately flying up to ~20 times per day &amp; ship flying up to ~5 times per day. 

Useful load to Mars is ~150 metric tons, but requires ~5 orbital refilling tanker flights.

Target: &gt;1 megaton of cargo &amp; people delivered to Mars, so that it becomes self-sustaining.",3198,402,2023-04-15 04:35:06+00:00
5,elonmusk,"@dvorahfr You should sign up for subscriptions, then, for example, post low res images free and high res for subscribers or whatever you want",391,40,2023-04-15 04:24:40+00:00
6,elonmusk,@teslaownersSV There is massive uncertainty with a new launch. We don’t know exactly when it will fly.,2206,201,2023-04-15 02:08:37+00:00
7,elonmusk,@teslaownersSV jk,1369,68,2023-04-15 01:55:47+00:00
8,elonmusk,@westcoastbill 😂,16115,912,2023-04-15 01:44:37+00:00
9,elonmusk,@cb_doge Anyone who thinks this risk is 0% is an idiot,50648,4876,2023-04-15 01:43:19+00:00
10,elonmusk,@alx @nytimes I can’t tell parody from reality these days,60785,4268,2023-04-15 00:19:20+00:00
11,elonmusk,https://t.co/5LwR1HoWYl,117530,9785,2023-04-15 00:06:27+00:00
12,elonmusk,@Jason 💯,3581,187,2023-04-15 00:01:43+00:00
13,elonmusk,@teslaownersSV I have a feeling it might get delayed 3 days …,17032,1131,2023-04-15 00:01:32+00:00
14,elonmusk,"Success maybe, excitement guaranteed! https://t.co/LoDrBmHkQa",70707,7620,2023-04-14 23:46:49+00:00
15,elonmusk,@BillyM2k Lot of ways for AI to go wrong,7805,676,2023-04-14 23:44:29+00:00
16,elonmusk,@ylecun Speak for yourself,8758,555,2023-04-14 23:42:42+00:00
17,elonmusk,"@TitterDaily Am doing interviews across the political spectrum.

BBC’s SF division is “left wing”, as evidenced by the questions he asked. 

Tucker is “right wing”. 

Next week, I will do interviews with moderate &amp; slightly left media.",66473,6914,2023-04-14 21:57:56+00:00
